[   1]	 CREATE
[   2]	 CREATE
[   3]	 CREATE
[   4]	 CREATE
[   5]	 CREATE
[   6]	 CREATE
[   7]	 CREATE
[   8]	 CREATE
[   9]	 CREATE
[  10]	 CREATE
[  11]	 CREATE
[  12]	 CREATE
[  13]	 CREATE
[  14]	 CREATE
[  15]	 CREATE
[  16]	 CREATE
[  17]	 CREATE
[  18]	 CREATE
[  19]	 CREATE
[  20]	 CREATE
[  21]	 CREATE
[  22]	 CREATE
[  23]	 CREATE
[  24]	 CREATE
[  25]	 CREATE
[  26]	 CREATE
[  27]	 CREATE
[  28]	 CREATE
[  29]	 CREATE
[  30]	 CREATE
[  31]	 CREATE
[  32]	 CREATE
[  33]	 CREATE
[  34]	 CREATE
[  35]	 CREATE
[  36]	 CREATE
[  37]	 CREATE
[  38]	 CREATE
